BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2015-09-01,Yandex clA,YNDX,1911,75676527.0,797.0,770.0,807.0,782.0,786.0,782.0,96381,785.0,785.0,785.0,75676527.0,75676527.0,75676527.0,,3,SUR,-2.86
TQBR,2015-09-02,Yandex clA,YNDX,1226,45791313.0,775.0,772.0,797.0,780.0,783.0,780.0,58513,783.0,783.0,783.0,45791313.0,45791313.0,45791313.0,,3,SUR,-0.26
TQBR,2015-09-03,Yandex clA,YNDX,862,44134329.0,783.0,783.0,801.0,795.0,795.0,795.0,55513,795.0,795.0,795.0,44134329.0,44134329.0,44134329.0,,3,SUR,1.92
TQBR,2015-09-04,Yandex clA,YNDX,618,54706854.0,789.0,782.0,797.0,786.0,793.0,790.0,69142,791.0,791.0,791.0,54706854.0,54706854.0,54706854.0,,3,SUR,-0.63
TQBR,2015-09-07,Yandex clA,YNDX,273,31301204.0,787.0,784.0,795.0,786.0,791.0,786.0,39642,790.0,790.0,790.0,31301204.0,31301204.0,31301204.0,,3,SUR,-0.51
TQBR,2015-09-08,Yandex clA,YNDX,626,31365724.0,788.0,785.0,799.0,786.0,794.0,786.0,39570,793.0,793.0,793.0,31365724.0,31365724.0,31365724.0,,3,SUR,0.0
TQBR,2015-09-09,Yandex clA,YNDX,1211,70933426.0,786.0,782.0,801.0,787.0,792.0,787.0,89630,791.0,791.0,791.0,70933426.0,70933426.0,70933426.0,,3,SUR,0.13
TQBR,2015-09-10,Yandex clA,YNDX,1642,81455388.0,787.0,767.0,795.0,773.0,784.0,773.0,104104,782.0,782.0,782.0,81455388.0,81455388.0,81455388.0,,3,SUR,-1.78
TQBR,2015-09-11,Yandex clA,YNDX,1449,62674620.0,775.0,755.0,780.0,760.0,768.0,760.0,81910,765.0,765.0,765.0,62674620.0,62674620.0,62674620.0,,3,SUR,-1.68
TQBR,2015-09-14,Yandex clA,YNDX,5499,274295925.0,762.0,741.0,836.0,809.0,790.0,809.0,347085,790.0,790.0,790.0,274295925.0,274295925.0,274295925.0,,3,SUR,6.45
TQBR,2015-09-15,Yandex clA,YNDX,2102,112071389.0,813.0,792.0,829.0,815.0,809.0,815.0,138531,809.0,809.0,809.0,112071389.0,112071389.0,112071389.0,,3,SUR,0.74
TQBR,2015-09-16,Yandex clA,YNDX,3299,132751156.0,814.0,807.0,872.0,862.0,844.0,862.0,156563,848.0,848.0,848.0,132751156.0,132751156.0,132751156.0,,3,SUR,5.77
TQBR,2015-09-17,Yandex clA,YNDX,1441,39446743.0,859.0,850.0,869.0,860.0,861.0,860.0,45814,861.0,861.0,861.0,39446743.0,39446743.0,39446743.0,,3,SUR,-0.23
TQBR,2015-09-18,Yandex clA,YNDX,2593,58143011.0,860.0,832.0,873.0,841.0,849.0,841.0,68502,849.0,849.0,849.0,58143011.0,58143011.0,58143011.0,,3,SUR,-2.21
TQBR,2015-09-21,Yandex clA,YNDX,1226,18796548.0,841.0,821.0,847.0,826.0,829.0,826.0,22676,829.0,829.0,829.0,18796548.0,18796548.0,18796548.0,,3,SUR,-1.78
TQBR,2015-09-22,Yandex clA,YNDX,3141,84137980.0,820.0,774.0,821.0,775.0,792.0,775.0,106292,792.0,792.0,792.0,84137980.0,84137980.0,84137980.0,,3,SUR,-6.17
TQBR,2015-09-23,Yandex clA,YNDX,3359,117797205.0,780.0,749.0,800.0,752.0,768.0,752.0,153537,767.0,767.0,767.0,117797205.0,117797205.0,117797205.0,,3,SUR,-2.97
TQBR,2015-09-24,Yandex clA,YNDX,6648,111858966.0,750.0,705.0,752.0,714.0,734.0,714.0,152650,733.0,733.0,733.0,111858966.0,111858966.0,111858966.0,,3,SUR,-5.05
TQBR,2015-09-25,Yandex clA,YNDX,2689,101770082.0,716.0,706.0,738.0,714.0,726.0,714.0,140554,724.0,724.0,724.0,101770082.0,101770082.0,101770082.0,,3,SUR,0.0
TQBR,2015-09-28,Yandex clA,YNDX,2473,64432294.0,712.0,686.0,720.0,694.0,700.0,694.0,92047,700.0,700.0,700.0,64432294.0,64432294.0,64432294.0,,3,SUR,-2.8
TQBR,2015-09-29,Yandex clA,YNDX,2594,90068422.0,689.0,683.0,715.0,703.0,695.0,703.0,129448,696.0,696.0,696.0,90068422.0,90068422.0,90068422.0,,3,SUR,1.3
TQBR,2015-09-30,Yandex clA,YNDX,2866,79470549.0,710.0,704.0,732.0,713.0,720.0,713.0,110553,719.0,719.0,719.0,79470549.0,79470549.0,79470549.0,,3,SUR,1.42
TQBR,2015-10-01,Yandex clA,YNDX,1525,41367564.0,718.0,698.0,722.0,704.0,711.0,704.0,58288,710.0,710.0,710.0,41367564.0,41367564.0,41367564.0,,3,SUR,-1.26
TQBR,2015-10-02,Yandex clA,YNDX,2119,57905398.0,706.0,701.0,734.0,730.0,714.0,730.0,81032,715.0,715.0,715.0,57905398.0,57905398.0,57905398.0,,3,SUR,3.69
TQBR,2015-10-05,Yandex clA,YNDX,5304,99613074.0,737.0,737.0,783.0,775.0,762.0,775.0,130635,763.0,763.0,763.0,99613074.0,99613074.0,99613074.0,,3,SUR,6.16
TQBR,2015-10-06,Yandex clA,YNDX,2103,80652882.0,784.0,752.0,794.0,769.0,778.0,769.0,103725,778.0,778.0,778.0,80652882.0,80652882.0,80652882.0,,3,SUR,-0.77
TQBR,2015-10-07,Yandex clA,YNDX,2975,85226573.0,770.0,738.0,785.0,745.0,762.0,745.0,111838,762.0,762.0,762.0,85226573.0,85226573.0,85226573.0,,3,SUR,-3.12
TQBR,2015-10-08,Yandex clA,YNDX,2829,46499048.0,749.0,731.0,749.0,736.0,741.0,736.0,62763,741.0,741.0,741.0,46499048.0,46499048.0,46499048.0,,3,SUR,-1.21
TQBR,2015-10-09,Yandex clA,YNDX,1823,57998728.0,742.0,736.0,769.0,763.0,757.0,763.0,76620,757.0,757.0,757.0,57998728.0,57998728.0,57998728.0,,3,SUR,3.67
TQBR,2015-10-12,Yandex clA,YNDX,3555,47417976.0,764.0,732.0,767.0,743.0,749.0,743.0,63319,749.0,749.0,749.0,47417976.0,47417976.0,47417976.0,,3,SUR,-2.62
TQBR,2015-10-13,Yandex clA,YNDX,4602,188361525.0,744.0,744.0,821.0,814.0,786.0,814.0,239794,786.0,786.0,786.0,188361525.0,188361525.0,188361525.0,,3,SUR,9.56
TQBR,2015-10-14,Yandex clA,YNDX,3103,121723990.0,804.0,787.0,823.0,818.0,805.0,818.0,151268,805.0,805.0,805.0,121723990.0,121723990.0,121723990.0,,3,SUR,0.49
TQBR,2015-10-15,Yandex clA,YNDX,3289,180262932.0,828.0,821.0,862.0,821.0,840.0,821.0,214592,840.0,840.0,840.0,180262932.0,180262932.0,180262932.0,,3,SUR,0.37
TQBR,2015-10-16,Yandex clA,YNDX,1506,64645239.0,828.0,813.0,844.0,813.0,825.0,813.0,78331,825.0,825.0,825.0,64645239.0,64645239.0,64645239.0,,3,SUR,-0.97
TQBR,2015-10-19,Yandex clA,YNDX,1997,71605000.0,811.0,811.0,857.0,845.0,837.0,845.0,85526,837.0,837.0,837.0,71605000.0,71605000.0,71605000.0,,3,SUR,3.94
TQBR,2015-10-20,Yandex clA,YNDX,2306,44591840.0,842.0,830.0,854.0,834.0,842.0,834.0,52935,842.0,842.0,842.0,44591840.0,44591840.0,44591840.0,,3,SUR,-1.3
TQBR,2015-10-21,Yandex clA,YNDX,1734,51117201.0,831.0,801.0,836.0,822.0,819.0,822.0,62432,819.0,819.0,819.0,51117201.0,51117201.0,51117201.0,,3,SUR,-1.44
TQBR,2015-10-22,Yandex clA,YNDX,1113,40881769.0,820.0,813.0,840.0,836.0,827.0,836.0,49449,827.0,827.0,827.0,40881769.0,40881769.0,40881769.0,,3,SUR,1.7
TQBR,2015-10-23,Yandex clA,YNDX,2821,98893019.0,822.0,798.0,823.0,813.0,811.0,813.0,122032,810.0,810.0,810.0,98893019.0,98893019.0,98893019.0,,3,SUR,-2.75
TQBR,2015-10-26,Yandex clA,YNDX,3189,76079338.0,815.0,808.0,854.0,838.0,833.0,838.0,91353,833.0,833.0,833.0,76079338.0,76079338.0,76079338.0,,3,SUR,3.08
TQBR,2015-10-27,Yandex clA,YNDX,10730,563768882.0,862.0,851.0,965.0,940.0,902.0,940.0,624018,903.0,903.0,903.0,563768882.0,563768882.0,563768882.0,,3,SUR,12.17
TQBR,2015-10-28,Yandex clA,YNDX,7420,314030835.0,960.0,932.0,1009.0,1002.0,977.0,1002.0,321318,977.0,977.0,977.0,314030835.0,314030835.0,314030835.0,,3,SUR,6.6
TQBR,2015-10-29,Yandex clA,YNDX,2821,123549072.0,996.0,971.0,1020.0,1009.0,999.0,1009.0,123641,999.0,999.0,999.0,123549072.0,123549072.0,123549072.0,,3,SUR,0.7
TQBR,2015-10-30,Yandex clA,YNDX,1467,59548249.0,995.0,989.0,1022.0,1016.0,1006.0,1016.0,59156,1007.0,1007.0,1007.0,59548249.0,59548249.0,59548249.0,,3,SUR,0.69
TQBR,2015-11-02,Yandex clA,YNDX,2428,85131114.6,1018.0,1003.1,1036.8,1030.0,1021.0,1030.0,83386,1020.9,1020.9,1020.9,85131114.6,85131114.6,85131114.6,,3,SUR,1.38
TQBR,2015-11-03,Yandex clA,YNDX,1317,78988412.5,1030.3,1011.0,1039.9,1011.0,1030.9,1011.0,76620,1030.9,1030.9,1030.9,78988412.5,78988412.5,78988412.5,,3,SUR,-1.84
TQBR,2015-11-05,Yandex clA,YNDX,2603,66430485.4,1002.2,980.0,1011.7,980.0,997.0,980.0,66631,997.0,997.0,997.0,66430485.4,66430485.4,66430485.4,,3,SUR,-3.07
TQBR,2015-11-06,Yandex clA,YNDX,2643,54676716.1,982.1,967.0,1005.0,994.9,988.8,994.9,55334,988.1,988.1,988.1,54676716.1,54676716.1,54676716.1,,3,SUR,1.52
TQBR,2015-11-09,Yandex clA,YNDX,2254,44662814.2,999.0,994.2,1028.4,1012.0,1013.3,1012.0,44129,1012.1,1012.1,1012.1,44662814.2,44662814.2,44662814.2,,3,SUR,1.72
TQBR,2015-11-10,Yandex clA,YNDX,2218,64808089.1,1021.1,1011.7,1036.5,1027.0,1024.2,1027.0,63241,1024.8,1024.8,1024.8,64808089.1,64808089.1,64808089.1,,3,SUR,1.48
TQBR,2015-11-11,Yandex clA,YNDX,2041,53491480.9,1020.1,1015.2,1048.9,1040.0,1032.5,1040.0,51775,1033.2,1033.2,1033.2,53491480.9,53491480.9,53491480.9,,3,SUR,1.27
TQBR,2015-11-12,Yandex clA,YNDX,2627,57309636.0,1040.5,1005.0,1049.9,1020.6,1027.6,1020.6,55771,1027.6,1027.6,1027.6,57309636.0,57309636.0,57309636.0,,3,SUR,-1.87
TQBR,2015-11-13,Yandex clA,YNDX,2153,42446122.5,1017.9,990.0,1020.0,1001.0,1005.0,1001.0,42234,1005.0,1005.0,1005.0,42446122.5,42446122.5,42446122.5,,3,SUR,-1.92
TQBR,2015-11-16,Yandex clA,YNDX,2603,32279216.1,996.0,996.0,1022.0,1015.1,1012.9,1015.1,31869,1012.9,1012.9,1012.9,32279216.1,32279216.1,32279216.1,,3,SUR,1.41
TQBR,2015-11-17,Yandex clA,YNDX,2860,108713633.1,1014.9,1012.2,1080.5,1059.0,1045.8,1059.0,103890,1046.4,1046.4,1046.4,108713633.1,108713633.1,108713633.1,,3,SUR,4.32
TQBR,2015-11-18,Yandex clA,YNDX,2811,124224287.2,1060.0,1050.2,1098.8,1094.0,1068.0,1094.0,116318,1068.0,1068.0,1068.0,124224287.2,124224287.2,124224287.2,,3,SUR,3.31
TQBR,2015-11-19,Yandex clA,YNDX,4655,163935544.6,1099.0,1071.8,1106.8,1086.0,1090.6,1086.0,150586,1088.7,1088.7,1088.7,163935544.6,163935544.6,163935544.6,,3,SUR,-0.73
TQBR,2015-11-20,Yandex clA,YNDX,1377,49636034.5,1090.3,1089.1,1120.9,1111.0,1105.2,1111.0,44906,1105.3,1105.3,1105.3,49636034.5,49636034.5,49636034.5,,3,SUR,2.3
TQBR,2015-11-23,Yandex clA,YNDX,2825,63859186.1,1112.0,1112.0,1150.0,1129.9,1133.5,1129.9,56337,1133.5,1133.5,1133.5,63859186.1,63859186.1,63859186.1,,3,SUR,1.7
TQBR,2015-11-24,Yandex clA,YNDX,3114,96415951.2,1129.9,1060.0,1131.4,1092.0,1096.1,1092.0,87960,1096.1,1096.1,1096.1,96415951.2,96415951.2,96415951.2,,3,SUR,-3.35
TQBR,2015-11-25,Yandex clA,YNDX,2384,54945457.5,1095.6,1095.5,1149.9,1127.0,1124.8,1127.0,48845,1124.9,1124.9,1124.9,54945457.5,54945457.5,54945457.5,,3,SUR,3.21
TQBR,2015-11-26,Yandex clA,YNDX,740,26615012.3,1119.9,1115.0,1148.8,1117.7,1128.5,1117.7,23568,1129.3,1129.3,1129.3,26615012.3,26615012.3,26615012.3,,3,SUR,-0.83
TQBR,2015-11-27,Yandex clA,YNDX,2987,56343639.1,1116.2,1066.2,1121.6,1074.5,1094.8,1074.5,51467,1094.8,1094.8,1094.8,56343639.1,56343639.1,56343639.1,,3,SUR,-3.87
TQBR,2015-11-30,Yandex clA,YNDX,1310,36216629.4,1074.5,1074.4,1099.0,1094.0,1088.4,1094.0,33276,1088.4,1088.4,1088.4,36216629.4,36216629.4,36216629.4,,3,SUR,1.81
TQBR,2015-12-01,Yandex clA,YNDX,714,24730053.6,1097.2,1076.0,1108.2,1086.0,1094.0,1086.0,22606,1094.0,1094.0,1094.0,24730053.6,24730053.6,24730053.6,,3,SUR,-0.73
TQBR,2015-12-02,Yandex clA,YNDX,3137,73393787.3,1079.8,1051.8,1104.0,1104.0,1075.6,1104.0,68237,1075.6,1075.6,1075.6,73393787.3,73393787.3,73393787.3,,3,SUR,1.66
TQBR,2015-12-03,Yandex clA,YNDX,881,26956983.2,1105.0,1094.8,1114.0,1099.0,1106.4,1099.0,24364,1106.4,1106.4,1106.4,26956983.2,26956983.2,26956983.2,,3,SUR,-0.45
TQBR,2015-12-04,Yandex clA,YNDX,2099,40411723.9,1090.0,1071.6,1104.9,1087.1,1084.5,1087.1,37266,1084.4,1084.4,1084.4,40411723.9,40411723.9,40411723.9,,3,SUR,-1.08
TQBR,2015-12-07,Yandex clA,YNDX,1247,38964155.3,1091.5,1038.2,1091.6,1060.0,1065.6,1060.0,36564,1065.6,1065.6,1065.6,38964155.3,38964155.3,38964155.3,,3,SUR,-2.49
TQBR,2015-12-08,Yandex clA,YNDX,1648,60868474.6,1060.0,1003.1,1060.0,1038.9,1033.2,1038.9,58910,1033.2,1033.2,1033.2,60868474.6,60868474.6,60868474.6,,3,SUR,-1.99
TQBR,2015-12-09,Yandex clA,YNDX,1098,23113302.3,1038.9,1034.4,1060.0,1050.0,1048.5,1050.0,22044,1048.5,1048.5,1048.5,23113302.3,23113302.3,23113302.3,,3,SUR,1.07
TQBR,2015-12-10,Yandex clA,YNDX,747,33082243.6,1047.0,1030.0,1051.7,1030.3,1035.1,1030.3,31961,1035.1,1035.1,1035.1,33082243.6,33082243.6,33082243.6,,3,SUR,-1.88
TQBR,2015-12-11,Yandex clA,YNDX,990,39401735.6,1030.1,1020.1,1055.0,1037.0,1043.2,1037.0,37769,1043.2,1043.2,1043.2,39401735.6,39401735.6,39401735.6,,3,SUR,0.65
TQBR,2015-12-14,Yandex clA,YNDX,1821,57848723.8,1020.1,981.1,1030.0,984.4,1000.1,984.4,57851,1000.0,1000.0,1000.0,57848723.8,57848723.8,57848723.8,,3,SUR,-5.07
TQBR,2015-12-15,Yandex clA,YNDX,2326,84790259.1,995.0,994.5,1059.6,1055.0,1035.6,1055.0,81872,1035.6,1035.6,1035.6,84790259.1,84790259.1,84790259.1,,3,SUR,7.17
TQBR,2015-12-16,Yandex clA,YNDX,1069,30697411.6,1060.0,1056.0,1085.0,1067.0,1069.0,1067.0,28717,1069.0,1069.0,1069.0,30697411.6,30697411.6,30697411.6,,3,SUR,1.14
TQBR,2015-12-17,Yandex clA,YNDX,1864,45985747.5,1070.0,1064.9,1111.1,1084.9,1090.7,1084.9,42162,1090.7,1090.7,1090.7,45985747.5,45985747.5,45985747.5,,3,SUR,1.68
TQBR,2015-12-18,Yandex clA,YNDX,1137,31921880.6,1085.0,1061.2,1089.9,1075.1,1076.7,1075.1,29649,1076.7,1076.7,1076.7,31921880.6,31921880.6,31921880.6,,3,SUR,-0.9
TQBR,2015-12-21,Yandex clA,YNDX,1193,31123503.1,1085.0,1070.2,1103.8,1095.1,1090.4,1095.1,28543,1090.4,1090.4,1090.4,31123503.1,31123503.1,31123503.1,,3,SUR,1.86
TQBR,2015-12-22,Yandex clA,YNDX,1132,31484717.3,1104.0,1090.1,1119.0,1090.1,1102.6,1090.1,28554,1102.6,1102.6,1102.6,31484717.3,31484717.3,31484717.3,,3,SUR,-0.46
TQBR,2015-12-23,Yandex clA,YNDX,1469,50058079.0,1090.8,1090.8,1129.4,1125.1,1120.5,1125.1,44673,1120.5,1120.5,1120.5,50058079.0,50058079.0,50058079.0,,3,SUR,3.21
TQBR,2015-12-24,Yandex clA,YNDX,1762,32942866.7,1117.0,1100.6,1136.0,1129.1,1118.0,1129.1,29435,1119.2,1119.2,1119.2,32942866.7,32942866.7,32942866.7,,3,SUR,0.36
TQBR,2015-12-25,Yandex clA,YNDX,973,21506047.0,1110.2,1102.1,1121.3,1110.0,1113.3,1110.0,19317,1113.3,1113.3,1113.3,21506047.0,21506047.0,21506047.0,,3,SUR,-1.69
TQBR,2015-12-28,Yandex clA,YNDX,767,29017349.8,1109.2,1107.8,1133.6,1119.5,1119.4,1119.5,25923,1119.4,1119.4,1119.4,29017349.8,29017349.8,29017349.8,,3,SUR,0.86
TQBR,2015-12-29,Yandex clA,YNDX,1578,30835512.2,1121.1,1121.1,1152.1,1138.0,1137.8,1138.0,27102,1137.8,1137.8,1137.8,30835512.2,30835512.2,30835512.2,,3,SUR,1.65
TQBR,2015-12-30,Yandex clA,YNDX,1271,29215371.2,1136.1,1136.1,1159.8,1147.0,1145.6,1147.0,25502,1145.6,1145.6,1145.6,29215371.2,29215371.2,29215371.2,,3,SUR,0.79
TQBR,2016-01-04,Yandex clA,YNDX,1853,60627763.0,1148.9,1060.0,1157.9,1064.1,1086.8,1064.1,55784,1086.8,1086.8,1064.1,60627763.0,60627763.0,60627763.0,,3,SUR,-7.23
TQBR,2016-01-05,Yandex clA,YNDX,2747,47054262.9,1080.0,1075.2,1134.8,1133.9,1104.7,1133.9,42595,1104.7,1104.7,1133.9,47054262.9,47054262.9,47054262.9,,3,SUR,6.56
TQBR,2016-01-06,Yandex clA,YNDX,1627,42517243.5,1131.9,1095.0,1133.5,1112.0,1113.3,1112.0,38189,1113.3,1113.3,1112.0,42517243.5,42517243.5,42517243.5,,3,SUR,-1.93
TQBR,2016-01-11,Yandex clA,YNDX,4771,145011758.4,1027.5,987.0,1075.0,987.0,1023.8,987.0,141641,1023.8,1023.8,987.0,145011758.4,145011758.4,145011758.4,,3,SUR,-11.24
TQBR,2016-01-12,Yandex clA,YNDX,2814,108911841.2,982.5,972.2,1004.2,999.0,990.4,999.0,109973,990.4,990.4,999.0,108911841.2,108911841.2,108911841.2,,3,SUR,1.22
TQBR,2016-01-13,Yandex clA,YNDX,2061,51462463.4,1004.1,1004.1,1023.8,1006.0,1015.2,1006.0,50693,1015.2,1015.2,1006.0,51462463.4,51462463.4,51462463.4,,3,SUR,0.7
TQBR,2016-01-14,Yandex clA,YNDX,2908,71615686.7,995.2,970.2,1009.9,1009.0,989.2,1009.0,72398,989.2,989.2,1009.0,71615686.7,71615686.7,71615686.7,,3,SUR,0.3
TQBR,2016-01-15,Yandex clA,YNDX,3569,83007784.8,1010.0,930.0,1014.0,954.0,966.3,954.0,85969,965.6,965.6,954.0,83007784.8,83007784.8,83007784.8,,3,SUR,-5.45
TQBR,2016-01-18,Yandex clA,YNDX,2474,44736785.8,949.0,900.1,978.1,963.3,958.0,963.0,46699,958.0,958.0,963.3,44736785.8,44736785.8,44736785.8,,3,SUR,0.94
TQBR,2016-01-19,Yandex clA,YNDX,2559,84198384.9,966.0,951.7,990.8,954.0,974.7,954.0,86381,974.7,974.7,954.0,84198384.9,84198384.9,84198384.9,,3,SUR,-0.93
TQBR,2016-01-20,Yandex clA,YNDX,2951,90924555.9,946.9,903.2,946.9,912.5,924.1,912.5,98391,924.1,924.1,912.5,90924555.9,90924555.9,90924555.9,,3,SUR,-4.35
TQBR,2016-01-21,Yandex clA,YNDX,4313,142463858.9,926.9,920.1,1023.0,1020.0,974.5,1020.0,146147,974.8,974.8,1020.0,142463858.9,142463858.9,142463858.9,,3,SUR,11.78
TQBR,2016-01-22,Yandex clA,YNDX,3649,98223754.1,1020.3,995.5,1039.0,1020.0,1017.0,1020.0,96563,1017.2,1017.2,1020.0,98223754.1,98223754.1,98223754.1,,3,SUR,0.0
TQBR,2016-01-25,Yandex clA,YNDX,2925,64856252.1,1020.0,988.0,1030.0,1002.1,1013.3,1002.1,64008,1013.3,1013.3,1002.1,64856252.1,64856252.1,64856252.1,,3,SUR,-1.75
TQBR,2016-01-26,Yandex clA,YNDX,3065,59287421.1,1003.0,990.0,1023.8,1012.0,1004.6,1012.0,59016,1004.6,1004.6,1012.0,59287421.1,59287421.1,59287421.1,,3,SUR,0.99
TQBR,2016-01-27,Yandex clA,YNDX,3002,92726879.0,1018.1,1018.1,1054.8,1049.9,1041.2,1049.9,89060,1041.2,1041.2,1049.9,92726879.0,92726879.0,92726879.0,,3,SUR,3.75
TQBR,2016-01-28,Yandex clA,YNDX,3001,87823646.2,1049.6,1011.0,1051.0,1017.4,1034.9,1017.4,84859,1034.9,1034.9,1017.4,87823646.2,87823646.2,87823646.2,,3,SUR,-3.1
TQBR,2016-01-29,Yandex clA,YNDX,2547,59284062.0,1019.0,1005.2,1029.8,1007.0,1017.5,1007.0,58267,1017.5,1017.5,1007.0,59284062.0,59284062.0,59284062.0,,3,SUR,-1.02
TQBR,2016-02-01,Yandex clA,YNDX,1674,40261826.5,1015.0,1000.0,1026.0,1013.0,1015.5,1013.0,39640,1015.5,1015.5,1013.0,40261826.5,40261826.5,40261826.5,,3,SUR,0.6
TQBR,2016-02-02,Yandex clA,YNDX,1942,51931242.5,1019.5,1006.0,1041.0,1012.0,1027.5,1012.0,50536,1027.5,1027.5,1012.0,51931242.5,51931242.5,51931242.5,,3,SUR,-0.1
TQBR,2016-02-03,Yandex clA,YNDX,1704,40210777.0,1012.5,1000.5,1028.0,1012.5,1012.0,1012.5,39735,1012.0,1012.0,1012.5,40210777.0,40210777.0,40210777.0,,3,SUR,0.05
TQBR,2016-02-04,Yandex clA,YNDX,2905,127184163.0,1020.0,1016.5,1061.0,1054.0,1034.5,1054.0,122967,1034.5,1034.5,1054.0,127184163.0,127184163.0,127184163.0,,3,SUR,4.1
TQBR,2016-02-05,Yandex clA,YNDX,1631,47693544.5,1046.0,1023.0,1046.0,1023.0,1029.5,1023.0,46337,1029.5,1029.5,1023.0,47693544.5,47693544.5,47693544.5,,3,SUR,-2.94
TQBR,2016-02-08,Yandex clA,YNDX,3488,94137098.0,1021.5,968.0,1022.0,986.0,990.5,986.0,95061,990.5,990.5,986.0,94137098.0,94137098.0,94137098.0,,3,SUR,-3.62
TQBR,2016-02-09,Yandex clA,YNDX,2721,81593883.5,992.5,970.0,1017.0,992.0,992.0,992.0,82271,992.0,992.0,992.0,81593883.5,81593883.5,81593883.5,,3,SUR,0.61
TQBR,2016-02-10,Yandex clA,YNDX,2001,63727426.5,980.5,975.0,1010.0,998.0,1001.0,998.0,63650,1001.0,1001.0,998.0,63727426.5,63727426.5,63727426.5,,3,SUR,0.6
TQBR,2016-02-11,Yandex clA,YNDX,1869,59378791.5,999.0,985.0,1013.0,1007.0,997.0,1007.0,59547,997.0,997.0,1007.0,59378791.5,59378791.5,59378791.5,,3,SUR,0.9
TQBR,2016-02-12,Yandex clA,YNDX,2087,50348700.0,1006.0,989.0,1022.5,989.0,1006.0,989.0,50041,1006.0,1006.0,989.0,50348700.0,50348700.0,50348700.0,,3,SUR,-1.79
