open,close,high,low,value,volume,begin,end
797.0,797.0,797.0,797.0,1992500.0,2500,2015-09-01 09:00:00,2015-09-01 09:59:59
797.0,800.0,807.0,793.0,9389526.0,11766,2015-09-01 10:00:00,2015-09-01 10:58:05
801.0,801.0,802.0,798.0,1652036.0,2065,2015-09-01 11:00:00,2015-09-01 11:59:06
801.0,792.0,801.0,783.0,18560903.0,23464,2015-09-01 12:00:00,2015-09-01 12:59:59
791.0,790.0,793.0,787.0,3980384.0,5038,2015-09-01 13:00:00,2015-09-01 13:59:59
790.0,781.0,790.0,780.0,6245185.0,7969,2015-09-01 14:00:00,2015-09-01 14:59:59
780.0,780.0,781.0,779.0,2872078.0,3682,2015-09-01 15:00:00,2015-09-01 15:59:59
780.0,779.0,784.0,770.0,18945652.0,24396,2015-09-01 16:00:00,2015-09-01 16:59:59
776.0,779.0,780.0,772.0,9451899.0,12186,2015-09-01 17:00:00,2015-09-01 17:59:59
779.0,782.0,785.0,775.0,2586364.0,3315,2015-09-01 18:00:00,2015-09-01 18:59:59
775.0,775.0,775.0,775.0,8525.0,11,2015-09-02 09:00:00,2015-09-02 09:59:59
772.0,786.0,788.0,772.0,4154923.0,5294,2015-09-02 10:00:00,2015-09-02 10:59:59
787.0,786.0,787.0,781.0,2767053.0,3524,2015-09-02 11:00:00,2015-09-02 11:50:16
786.0,788.0,788.0,786.0,1663565.0,2114,2015-09-02 12:00:00,2015-09-02 12:55:20
788.0,790.0,790.0,787.0,182017.0,231,2015-09-02 13:00:00,2015-09-02 13:47:10
789.0,788.0,791.0,788.0,1207672.0,1529,2015-09-02 14:00:00,2015-09-02 14:59:59
790.0,793.0,794.0,788.0,1884081.0,2379,2015-09-02 15:00:00,2015-09-02 15:59:59
793.0,774.0,797.0,772.0,17211653.0,21928,2015-09-02 16:00:00,2015-09-02 16:59:25
776.0,778.0,779.0,772.0,11880767.0,15328,2015-09-02 17:00:00,2015-09-02 17:59:59
778.0,780.0,788.0,778.0,4831057.0,6175,2015-09-02 18:00:00,2015-09-02 18:49:15
783.0,796.0,797.0,783.0,4666187.0,5905,2015-09-03 10:00:00,2015-09-03 10:59:59
796.0,798.0,800.0,795.0,10938508.0,13712,2015-09-03 11:00:00,2015-09-03 11:47:20
798.0,799.0,800.0,797.0,777948.0,975,2015-09-03 12:00:00,2015-09-03 12:59:20
797.0,797.0,798.0,796.0,211405.0,265,2015-09-03 13:00:00,2015-09-03 13:56:05
797.0,799.0,799.0,797.0,500513.0,627,2015-09-03 14:00:00,2015-09-03 14:51:10
799.0,796.0,799.0,795.0,2303108.0,2889,2015-09-03 15:00:00,2015-09-03 15:59:06
795.0,799.0,801.0,794.0,11454001.0,14355,2015-09-03 16:00:00,2015-09-03 16:59:59
798.0,789.0,798.0,787.0,11755407.0,14861,2015-09-03 17:00:00,2015-09-03 17:59:59
789.0,795.0,796.0,789.0,1527252.0,1924,2015-09-03 18:00:00,2015-09-03 18:59:59
789.0,789.0,789.0,789.0,169635.0,215,2015-09-04 09:00:00,2015-09-04 09:59:59
789.0,788.0,789.0,782.0,3440899.0,4373,2015-09-04 10:00:00,2015-09-04 10:59:11
787.0,790.0,791.0,786.0,666723.0,845,2015-09-04 11:00:00,2015-09-04 11:43:15
791.0,793.0,794.0,791.0,2652218.0,3347,2015-09-04 12:00:00,2015-09-04 12:56:15
793.0,795.0,795.0,793.0,3824212.0,4818,2015-09-04 13:00:00,2015-09-04 13:59:10
793.0,793.0,797.0,793.0,19266403.0,24288,2015-09-04 14:00:00,2015-09-04 14:59:10
793.0,793.0,796.0,793.0,3983355.0,5021,2015-09-04 15:00:00,2015-09-04 15:59:25
795.0,789.0,796.0,786.0,11445349.0,14465,2015-09-04 16:00:00,2015-09-04 16:52:05
789.0,787.0,790.0,787.0,3152468.0,4001,2015-09-04 17:00:00,2015-09-04 17:59:59
789.0,790.0,790.0,785.0,6105592.0,7769,2015-09-04 18:00:00,2015-09-04 18:43:40
787.0,792.0,795.0,787.0,785990.0,994,2015-09-07 10:00:00,2015-09-07 10:55:10
793.0,790.0,795.0,790.0,18091765.0,22890,2015-09-07 11:00:00,2015-09-07 11:59:11
790.0,791.0,794.0,790.0,902784.0,1140,2015-09-07 12:00:00,2015-09-07 12:53:20
793.0,792.0,794.0,792.0,687886.0,868,2015-09-07 13:00:00,2015-09-07 13:59:59
792.0,793.0,793.0,792.0,535238.0,675,2015-09-07 14:00:00,2015-09-07 14:46:20
792.0,790.0,792.0,790.0,2557036.0,3233,2015-09-07 15:00:00,2015-09-07 15:57:20
790.0,788.0,791.0,786.0,2141953.0,2712,2015-09-07 16:00:00,2015-09-07 16:59:15
787.0,786.0,789.0,784.0,2745898.0,3498,2015-09-07 17:00:00,2015-09-07 17:44:15
785.0,786.0,787.0,785.0,2852654.0,3632,2015-09-07 18:00:00,2015-09-07 18:59:59
788.0,788.0,788.0,788.0,5516.0,7,2015-09-08 09:00:00,2015-09-08 09:59:59
